City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Shumskiy,RU,54.8318,99.1328,65.98,58,51,2.82,light rain
221,Bolshaya Martynovka,RU,47.271,41.6679,77.13,31,6,12.19,clear sky
222,La Ronge,CA,55.1001,-105.2842,73.65,53,40,9.22,scattered clouds
223,Uthal,PK,25.8072,66.6219,85.06,73,73,3.56,broken clouds
224,Dera Bugti,PK,29.0307,69.151,82.27,70,20,2.55,few clouds
225,Aklavik,CA,68.2191,-135.0107,51.84,75,97,11.41,overcast clouds
226,Talara,PE,-4.5772,-81.2719,64.87,88,5,18.72,clear sky
227,Tilichiki,RU,60.4667,166.1,56.01,87,100,9.71,overcast clouds
228,Villa Del Rosario,CO,7.8339,-72.4742,77.38,61,40,10.36,scattered clouds
229,Kautokeino,NO,69.0125,23.0412,44.13,76,99,2.39,overcast clouds
230,Safaga,EG,26.7292,33.9365,85.69,39,4,16.04,clear sky
231,Qui Nhon,VN,13.7667,109.2333,84.06,75,100,2.33,overcast clouds
232,Almenara,BR,-16.1836,-40.6944,59.65,83,0,0.72,light rain
233,Bosanski Novi,BA,45.0458,16.3803,62.06,76,59,3.0,broken clouds
234,Beira,MZ,-19.8436,34.8389,64.49,88,0,6.91,clear sky
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.93,76,3,17.02,clear sky
236,Dedza,MW,-14.3779,34.3332,54.59,55,0,2.73,clear sky
237,Kruisfontein,ZA,-34.0033,24.7314,46.89,69,59,10.6,broken clouds
238,Lompoc,US,34.6391,-120.4579,65.84,82,100,11.5,overcast clouds
239,Henderson,US,36.0397,-114.9819,98.04,37,0,9.22,clear sky
240,Eirunepe,BR,-6.6603,-69.8736,76.71,75,41,1.25,scattered clouds
241,Ravar,IR,31.2656,56.8055,79.39,12,5,6.46,clear sky
242,Airai,TL,-8.9266,125.4092,71.83,42,82,5.23,broken clouds
243,Port Lincoln,AU,-34.7333,135.8667,55.47,82,97,12.46,overcast clouds
244,Kurilsk,RU,45.2333,147.8833,60.4,92,100,2.57,overcast clouds
245,Bang Saphan,TH,11.2126,99.5117,84.43,70,100,7.9,overcast clouds
246,Oranjestad,AW,12.524,-70.027,80.55,89,20,14.97,few clouds
247,Grand Gaube,MU,-20.0064,57.6608,67.37,78,99,13.0,overcast clouds
248,Zeya,RU,53.75,127.2667,72.93,62,10,2.06,clear sky
249,Shingu,JP,33.7333,135.9833,91.15,58,80,10.49,broken clouds
250,Pisco,PE,-13.7,-76.2167,61.02,82,3,10.36,mist
251,Osakarovka,KZ,50.565,72.5692,58.84,48,62,8.63,broken clouds
252,Vila Velha,BR,-20.3297,-40.2925,64.94,82,75,2.3,broken clouds
253,Zaysan,KZ,47.4667,84.8667,73.67,39,0,3.65,clear sky
254,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,12.66,light intensity shower rain
255,Korla,CN,41.7597,86.1469,85.8,24,32,2.98,scattered clouds
256,Konevo,RU,62.1215,39.3192,53.31,77,8,3.76,clear sky
257,Nishihara,JP,26.1842,127.7558,89.26,75,40,13.8,scattered clouds
258,Rubi,ES,41.4923,2.033,79.2,73,0,3.0,clear sky
259,Don Benito,ES,38.9563,-5.8616,63.81,66,0,9.66,clear sky
260,Olinda,BR,-8.0089,-34.8553,76.73,65,40,11.5,scattered clouds
261,Greer,US,34.9387,-82.2271,80.35,74,40,6.91,scattered clouds
262,Rokiskis,LT,55.9667,25.5833,63.66,95,100,6.42,overcast clouds
263,Igra,RU,57.5558,53.0547,53.11,90,0,3.22,clear sky
264,Ormara,PK,25.2088,64.6357,81.97,84,100,4.16,overcast clouds
265,Vestmannaeyjar,IS,63.4427,-20.2734,47.35,71,1,19.08,clear sky
266,San Patricio,US,28.017,-97.5169,84.83,81,100,14.09,overcast clouds
267,San Jose,US,37.3394,-121.895,85.89,50,0,14.97,clear sky
268,Marfino,RU,55.7028,37.3822,67.95,68,0,4.47,clear sky
269,Deputatskiy,RU,69.3,139.9,42.57,80,100,5.86,overcast clouds
270,Rio Blanco,MX,18.8333,-97.15,67.35,95,100,0.81,overcast clouds
271,Nynashamn,SE,58.9034,17.9479,64.11,86,64,9.13,broken clouds
272,Merauke,ID,-8.4667,140.3333,79.43,74,70,17.78,broken clouds
273,Capreol,CA,46.706,-80.9225,66.67,55,40,4.61,scattered clouds
274,Vestmanna,FO,62.1564,-7.1664,45.52,100,40,1.14,scattered clouds
275,Olga,RU,43.7444,135.2892,72.45,66,100,4.92,moderate rain
276,Tulare,US,36.2666,-118.8009,92.71,16,0,4.38,clear sky
277,Vagur,FO,61.4732,-6.8119,51.87,83,100,6.4,overcast clouds
278,Pevek,RU,69.7008,170.3133,33.73,86,86,9.37,overcast clouds
279,Winslow,US,35.0242,-110.6974,80.78,34,0,10.36,clear sky
280,Santiago Del Estero,AR,-27.7951,-64.2615,72.18,39,2,2.64,clear sky
281,Aguimes,ES,27.9054,-15.4461,70.43,78,40,25.99,scattered clouds
282,Charters Towers,AU,-20.1,146.2667,70.23,25,100,9.22,overcast clouds
283,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,88,75,11.83,broken clouds
284,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,89,0,11.5,clear sky
285,Alice Springs,AU,-23.7,133.8833,67.55,18,0,12.66,clear sky
286,Norman Wells,CA,65.282,-126.8329,77.04,57,75,10.36,broken clouds
287,Alyangula,AU,-13.8483,136.4192,77.13,40,9,16.71,clear sky
288,Sabha,LY,27.0377,14.4283,82.89,27,3,8.97,clear sky
289,Ahipara,NZ,-35.1667,173.1667,59.86,80,100,11.88,moderate rain
290,Teeli,RU,51.0333,90.2333,63.66,48,7,2.04,clear sky
291,Biltine,TD,14.5333,20.9167,75.87,80,98,10.89,moderate rain
292,Kolaras,IN,25.2333,77.6,74.61,94,100,7.43,overcast clouds
293,Kirakira,SB,-10.4544,161.9205,83.43,71,64,7.63,broken clouds
294,Paamiut,GL,61.994,-49.6678,43.72,95,69,11.12,broken clouds
295,Darlowo,PL,54.421,16.4107,67.01,88,12,8.66,few clouds
296,Carballo,ES,43.213,-8.691,64.09,91,28,4.0,scattered clouds
